keywords,year,_description,_title,_artists,_material,_dimensions,_inventory_number,_realyear,id
Porträtt,1600,"Se beskrivning i den engelska versionen.",Mansporträtt,"Alessandro Allori","Olja på duk","Mått 72 x 55 cm","NM 10",1600,17321
"Stadsbild,svensk,man",1860,,"Utsikt över Canal Grande i Venedig","Gustaf Wilhelm Palm","Olja på duk","Mått 75 x 105 cm","NM 1001",1860,18004
"Scen,svensk,man",1780,"Pilos kröningstavla beställdes 1777 av Gustav III, men påbörjades först 1782. Konstnären, som inte var med vid kröningen, har avbildat sig själv när han bjuder kollegan Elias Martin på en pris snus, till höger. Pilo låter sina figurer smälta in i Storkyrkans arkitektur, i ett hemlighetsfullt rum av färg och ljus. Målningen, som förblev ofullbordad, var tänkt att hänga som pendang på Drottningholms slott till Ehrenstrahls bild av Karl XI:s kröning.","Gustav III:s kröning. Ofullbordad","Carl Gustav Pilo","Olja på duk","Mått 293 x 531 cm","NM 1004",1782,18007
"Porträtt,svensk,man",1760,,"Drottning Sofia Magdalena","Carl Gustav Pilo","Olja på duk","Mått 92 x 70 cm","NM 1005",1766,18008
"Stadsbild,svensk,man",1700,,"Utsikt i Venedig med San Giorgio Maggiore. Motstycke till NM 1008","Johan Richter","Olja på duk","Mått 64 x 97 cm","NM 1007",1715,18010
"Porträtt,svensk,man",1760,,"Gustav III och hans bröder","Alexander Roslin","Olja på duk
","Mått 162 x 203 cm","NM 1010",1771,18013
"Porträtt,svensk,man",1760,,"Konstnärens hustru Marie Suzanne, f. Giroust","Alexander Roslin","Oljepastell på siden","Mått 56 x 46 cm","NM 1011",1763,18014
"Porträtt,svensk,man",1760,,"Gustav III","Alexander Roslin","Olja på duk","Mått 73 x 59 cm","NM 1012",1775,18015
"Religion/Mytologi,svensk,man",1720,,"Allegori över de fyra riksstånden","Georg Engelhard Schröder","Olja på duk","Mått 148 x 128 cm","NM 1017",1734,18020
"Barn,svensk,man",1820,,"Vingåkersflicka. Motstycke till NM 1019","Johan Gustaf Sandberg","Olja på duk","Mått 35 x 26 cm","NM 1020",1822,18023
"Scen,svensk,man",1740,,Skeppsbrott,"Johan Sevenbom","Olja på duk","Mått 78 x 99 cm","NM 1024",1750,18027
"Scen,svensk,man",1860,,"Tredje klassens väntsal II","Carl d'Unker","Olja på duk","Mått 79 x 107 cm","NM 1025",1865,18028
"Landskap,svensk,man",1860,,"Svenskt landskap. Motiv från Kolmården","Alfred Wahlberg","Olja på duk","Mått 169 x 226 cm","NM 1026",1866,18029
"Landskap,svensk,man,svensk,man",1860,,"Vinterlandskap med björnjakt","Wilhelm Wallander (Konstnär), Alfred Wahlberg (Konstnär)","Olja på duk","Mått 109 x 157 cm","NM 1027",1861,18030
"Scen,svensk,man",1840,"Gustav II Adolf dödades i slaget vid Lützen 1632. Kungen tog sig fram till det svenska infanteriets spets för att ge anfallet ny kraft, men i dimman och tumultet kom han i vägen för fiendevapnen. Wahlbom har målat kungen i en pose som för tankarna till Kristusgestalten i Michelangelos Pièta i Peterskyrkan i Rom. Målningen förmedlar kaoset som måste ha rått i striden, men i en sorts värdigt uttryck, genom den övernaturligt silverskimrande lystern.","Gustav II Adolfs död i slaget vid Lützen","Carl Wahlbom","Olja på duk","Mått 101 x 151 cm","NM 1028",1855,18031
"Scen,fransk",1600,,"Ung dam hållande en spegel",Okänd,"Olja på trä","Mått 66 x 54 cm","NM 103",1600,17052
"Scen,svensk,man",1860,,"Konserten på Tre Byttor. Scen ur Fredmans epistel 51","Wilhelm Wallander","Olja på duk","Mått 73 x 105 cm","NM 1030",1860,18033
